"1","ACTIVO DISPONIBLE Y EXIGIBLE",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"10","EFECTIVO Y EQUIVALENTES DE EFECTIVO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"101","CAJA",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"1011","CAJA",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"101101","CAJA M.N.",,"1","S",0.00,"N","MN",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"101102","CAJA M.E.",,"1","S",0.00,"N","US",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"102","FONDOS FIJOS",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"1021","FONDOS FIJOS",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"102101","FONDOS FIJOS M.N.","F","2","S",0.00,"N","MN",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"102102","FONDOS FIJOS M.E.","F","2","S",0.00,"N","US",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"103","EFECTIVO Y CHEQUES EN  TRANSITO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"1031","EFECTIVO EN TRANSITO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"103101","EFECTIVO EN TRANSITO M.N.","V","2","S",0.00,"N","MN",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"103102","EFECTIVO EN TRANSITO M.E.","V","2","S",0.00,"N","US",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"1032","CHEQUES EN TRANSITO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"103201","CHEQUES EN TRANSITO M.N.","V","2","S",0.00,"N","MN",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"103202","CHEQUES EN TRANSITO M.E.","V","2","S",0.00,"N","US",,,"N","M","A","N","S","N","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"104","CUENTAS CORRIENTES EN INSTITUCIONES FINANCIERAS",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"1041","CUENTAS CORRIENTES OPERATIVAS",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"104101","BANCO DE CREDITO","0","2","S",0.00,"N","MN",,,"N","M","A","N","S","S","1101",,,,,"V",15/10/2019 00:00:00,"15:19:","SIST",,,,,,,"3",,,,
"104103","BANCO CONTINENTAL","0","2","S",0.00,"N","MN",,,"N","M","A","N","S","S","1101",,,,,"V",15/10/2019 00:00:00,"15:19:","SIST",,,,,,,"3",,,,
"1042","CUENTAS CORRIENTES PARA FINES ESPECIFICOS",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"105","OTROS EQUIVALENTES DE EFECTIVO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"1051","OTROS EQUIVALENTES DE EFECTIVO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"105102","BANCO DE CREDITO M.E.","0","2","S",0.00,"N","US",,,"N","M","A","N","S","S","1101",,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,"3",,,,
"106","DEPOSITOS EN INSTITUCIONES FINANCIERAS",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
"1061","DEPOSITOS DE AHORRO",,,,0.00,,,,,,,"X",,,,,,,,,"V",1/10/2019 00:00:00,"12:12","SIST",,,,,,,,,,,
