"CAOXX",1.00,"AVANEXO","TIPO ANEXO","C",1.00,,,
"CAOXX",2.00,"ACODANE","CODIGO ANEXO","C",18.00,,,
"CAOXX",3.00,"APATERNO","APELLIDO PATERNO","C",20.00,,,
"CAOXX",4.00,"AMATERNO","APELLIDO MATERNO","C",20.00,,,
"CAOXX",5.00,"ANOMBRE","NOMBRE","C",20.00,,,
"CAOXX",6.00,"AFORMSUS","FORMULARIO SUSPENCION","C",8.00,,,
"CAOXX",7.00,"ATELEFO","TELEFONO","C",30.00,,,
"CAOXX",8.00,"ATIPTRA","TIPO TRABAJADOR","C",1.00,,,
"CAOXX",9.00,"AFECCRE","CEHC","D",8.00,,,
"CAOXX",10.00,"AUSER","XXXXX","C",5.00,,,
"CAOXX",11.00,"ADIRECC","XXXX","C",50.00,,,
"CAOXX",12.00,"APROVIN","XXXXX","C",30.00,,,
"CAOXX",13.00,"ADEPART","XXXX","C",30.00,,,
"CAOXX",14.00,"APAIS","XXX","C",30.00,,,
"CAOXX",15.00,"AZONPOS","CCC","C",10.00,,,
"CAOXX",16.00,"ADOCIDE","XXX","C",2.00,,,
"CAOXX",17.00,"ANUMIDE","XXX","C",15.00,,,
"CAOXX",18.00,"ATIPPRO","XXX","C",1.00,,,
"CAOXX",19.00,"ATASDET","XXX","C",8.00,,,
"CAOXX",20.00,"ATASPER","XXX","C",8.00,,,
"CPLXX",1.00,"PCUENTA","CUENTA CONTABLE","C",8.00,0.00,"990126","FDR"
"CPLXX",2.00,"PDESCRI","DESCRIPCION","C",50.00,0.00,"990126","FDR"
"CPLXX",3.00,"PVANEXO","TIPO DE ANEXO","C",1.00,0.00,"990126","FDR"
"CPLXX",4.00,"PVNIVEL","NIVEL DE CUENTA","C",1.00,0.00,"990216","FDR"
"CPLXX",5.00,"PVDOCREF","TIPO DE DOCUMENTO REFERENCIAL","C",1.00,0.00,"990126","FDR"
"CPLXX",6.00,"PLDOC","X","N",2.00,0.00,"990126","FDR"
"CPLXX",7.00,"PVFECVEN","FLAG DE FECHA DE VENCIMIENTO","C",1.00,0.00,"990126","FDR"
"CPLXX",8.00,"PMONREF","MONEDA REFERENCIAL","C",2.00,0.00,"990126","FDR"
"CPLXX",9.00,"PCTACAR","CUENTA DE CARGO AUTOMATICO","C",8.00,0.00,"990126","FDR"
"CPLXX",10.00,"PCTAABO","CUENTA DE ABONO AUTOMATICO","C",8.00,0.00,"990126","FDR"
"CPLXX",11.00,"PVCENCOS","FLAG DE CENTRO DE COSTO","C",1.00,0.00,"990126","FDR"
"CPLXX",12.00,"PVREGCTA","REGISTRO EN CUENTA","C",1.00,0.00,"990126","FDR"
"CPLXX",13.00,"PVTIPCTA","TIPO DE CUENTA","C",1.00,0.00,"990126","FDR"
"CPLXX",14.00,"PVCTAAJU","FLAG CUENTA ACM","C",1.00,0.00,"990126","FDR"
"CPLXX",15.00,"PVAREA","FLAG DE AREA","C",1.00,0.00,"990126","FDR"
"CPLXX",16.00,"PVCONBAN","FLAG DE CONCILICACION BANCARIA","C",1.00,0.00,"990126","FDR"
"CPLXX",17.00,"PFORBAL","FORMATO DE BALANCE","C",4.00,0.00,"990126","FDR"
"CPLXX",18.00,"PFORGYP","FORMATO DE GANANCIAS/PERDIDAS X FUNCION","C",4.00,0.00,"990126","FDR"
"CPLXX",19.00,"PLINGYP","LINEA DE GANANCIAS/PERDIDAS X FUNCION","C",1.00,0.00,"990126","FDR"
"CPLXX",20.00,"PFORGNA","FORMATO GANANCIAS/PERDIDAS X NATURALEZA","C",4.00,0.00,"990126","FDR"
"CPLXX",21.00,"PFORRE1","FORMATO DE COSTOS","C",4.00,0.00,"990317","FDR"
