"00","00","INDICE DE TABLAS",26/11/2013 00:00:00,"03:57:"
"00","02","SUB DIARIOS",26/11/2013 00:00:00,"03:57:"
"00","03","MONEDAS",26/11/2013 00:00:00,"03:57:"
"00","04","TITULOS DE CENTROS DE COSTOS",26/11/2013 00:00:00,"03:57:"
"00","05","CENTROS DE COSTOS",26/11/2013 00:00:00,"03:57:"
"00","06","TIPOS DE DOCUMENTOS",26/11/2013 00:00:00,"03:57:"
"00","07","PLAN - TIPO DE ANEXO",26/11/2013 00:00:00,"03:57:"
"00","08","PLAN - TIPOS DE CUENTA",26/11/2013 00:00:00,"03:57:"
"00","09","PLAN - NIVEL DE SALDO",26/11/2013 00:00:00,"03:57:"
"00","10","FORMATOS DE BALANCE",26/11/2013 00:00:00,"03:57:"
"00","11","FORMATOS DE GAN. PERD. POR FUNCION",26/11/2013 00:00:00,"03:57:"
"00","12","FORMATOS DE COSTOS",26/11/2013 00:00:00,"03:57:"
"00","13","FORMATO DE GAN. Y PERD. POR NATURALEZA",26/11/2013 00:00:00,"03:57:"
"00","14","PLAN - LINEAS DE GANANCIAS Y PERDIDAS",26/11/2013 00:00:00,"03:57:"
"00","15","DOCUMENTOS BANCARIOS",26/11/2013 00:00:00,"03:57:"
"00","16","RUBROS DE CONCILIACION BANCARIA",26/11/2013 00:00:00,"03:57:"
"00","17","TIPO DE CONVERSION DE MONEDA",26/11/2013 00:00:00,"03:57:"
"00","18","PLAN - ESTADO DE LA CUENTA",26/11/2013 00:00:00,"03:57:"
"00","19","PLAN - REGISTRO DE LA CUENTA",26/11/2013 00:00:00,"03:57:"
"00","20","FORMATO DE BALANCE",26/11/2013 00:00:00,"03:57:"
"00","21","FTO. G Y P FUNCION ALTERNO",26/11/2013 00:00:00,"03:57:"
"00","23","FTO. G Y P NATURALEZA ALTERNO",26/11/2013 00:00:00,"03:57:"
"00","26","TABLA DE AREAS",26/11/2013 00:00:00,"03:57:"
"00","27","ACTIVIDAD DE FLUJO DE EFECTIVO",26/11/2013 00:00:00,"03:57:"
"00","28","TASAS DE DETRACCIONES SUNAT",26/11/2013 00:00:00,"03:57:"
"00","29","TASAS DE PERCEPCIONES SUNAT",26/11/2013 00:00:00,"03:57:"
"00","30","CUENTAS RESUMIDAS EN EL MAYOR",26/11/2013 00:00:00,"03:57:"
"00","32","GANANCIAS Y PERDIDAS POR LINEA-PORCENTAJES",26/11/2013 00:00:00,"03:57:"
"00","33","GANANCIAS Y PERDIDAS POR LINEA-BASE PARA PORCENTAJES",26/11/2013 00:00:00,"03:57:"
