"001","01","S","94X",,21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"001","02","S","95X",,21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"001","03","S","97X",,21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"001","04","S","79X",,21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","01","T","701X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","02","T","702X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","03","T","703X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","04","T","707X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","05","T","708X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","06","T","709X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","07","T","601X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","08","T","604X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","09","T","605X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","10","T","606X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","11","T","609X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","12","T","611X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","13","T","614X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"002","14","T","615X","80101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"003","01","T","80101","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"004","01","T","630X","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"004","02","T","631X","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"004","03","T","632X","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"004","04","T","633X","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"004","05","T","634X","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
"004","06","T","635X","82101",21/2/2001 00:00:00,21/2/2001 00:00:00,"SIST"
